Lunation Number,Date of occurrence,Day of Month,Time of occurrence,Time Difference,Angle of Rays,Eclipse Type 1,Gamma,Magnitude 1,Latitude,Longitude,Eclipse Duration (m)
LN-35477,2025-09,10,18:50:58,23003,33,T,0.4184,2.0729,8S,173E,320.4108
LN-35471,2020-03,5,20:08:07,22995,38,T,0.3121,2.3158,9N,158E,371.40659999999997
LN-35465,2020-08,30,08:46:03,22987,43,T,-0.2976,2.3143,13S,35W,344.6649
LN-35459,2023-02,23,03:02:59,22978,48,N,1.0225,0.9865,14N,55E,267.23834999999997
LN-35453,2021-08,19,16:24:54,22970,53,N,-1.0743,0.9155,17S,150W,275.11575000000005
LN-35448,2022-01,14,06:58:44,22963,20,P,-0.9602,1.0788,22N,6W,259.36095
LN-35442,2022-07,10,01:49:18,22955,25,N,1.0625,0.943,23S,68E,285.48075000000006
LN-35436,2024-01,3,22:32:24,22947,30,T,-0.2969,2.3062,23N,120E,332.53785
LN-35430,2023-06,29,05:34:31,22938,35,T+,0.2718,2.3715,24S,11E,360.41970000000003
LN-35424,2024-12,24,09:53:23,22930,40,T,0.4106,2.1252,24N,52W,349.95105
LN-35418,2021-06,17,16:36:15,22922,45,P,-0.501,1.9232,24S,155W,322.79475
LN-35412,2023-12,12,13:56:12,22913,50,N,1.1414,0.8109999999999999,24N,114W,268.27485
LN-35407,2021-05,9,02:21:39,22906,17,N,1.2684,0.5016,13S,59E,187.32420000000002
LN-35406,2023-06,7,08:51:28,22905,55,N,-1.2139,0.6003,23S,40W,202.4571
LN-35401,2022-11,1,18:15:33,22898,22,N,-1.2253,0.6532,11N,179E,242.56964999999997
LN-35395,2020-04,28,18:01:01,22890,27,P,0.5586,1.8219,11S,176W,321.75825
LN-35389,2020-10,21,23:36:44,22882,32,P,-0.485,1.9832,8N,99E,340.20795
LN-35383,2023-04,18,03:48:10,22873,37,T-,-0.2128,2.4849,7S,38E,367.05330000000004
LN-35377,2022-10,11,12:01:11,22865,42,T+,0.2234,2.4376,4N,87W,332.43420000000003
LN-35371,2024-04,6,06:29:46,22857,47,Nx,-0.9934,1.0718,4S,2W,301.54650000000004
LN-35365,2025-09,30,03:51:26,22848,52,P,0.8928,1.2029,0N,36E,270.76245
LN-35360,2025-02,24,16:30:46,22842,19,N,1.1348,0.8006,13N,148W,257.70255
LN-35354,2021-08,21,06:49:47,22833,24,N,-1.0941,0.8595,16S,6W,255.7332
LN-35348,2025-02,14,01:23:28,22825,29,T,0.358,2.1992,16N,79E,337.72034999999994
LN-35342,2024-08,10,12:30:19,22817,34,T,-0.3846,2.1859,19S,92W,370.78470000000004
LN-35336,2020-02,3,16:01:25,22808,39,T,-0.3539,2.1901,19N,141W,322.58745
LN-35330,2021-07,30,12:56:04,22800,44,T,0.3548,2.2462,21S,99W,379.0767
LN-35324,2020-01,24,08:06:42,22792,49,N,-1.041,0.9345,20N,23W,248.0631
LN-35318,2021-07,18,15:12:49,22784,54,N,1.0821,0.8928,22S,134W,269.41499999999996
LN-35313,2021-12,14,06:28:20,22777,21,N,1.0448,0.9708,24N,3W,277.29240000000004
LN-35307,2021-06,8,16:22:40,22768,26,P,-0.8103,1.3494,23S,153W,285.999
LN-35301,2021-12,3,08:31:17,22760,31,T,0.3845,2.2044,22N,35W,379.59495000000004
LN-35295,2020-05,29,09:20:28,22752,36,T-,-0.0601,2.7173,20S,48W,328.18455
LN-35289,2020-11,22,07:30:50,22744,41,T,-0.2908,2.3733,18N,20W,381.66795
LN-35283,2021-05,19,01:44:41,22735,46,P,0.6983,1.5594,17S,67E,303.51585
LN-35277,2024-11,11,11:04:10,22727,51,P,-0.9561,1.1271,14N,74W,289.21215000000007
LN-35272,2021-04,8,00:40:39,22720,18,N,-1.2226,0.64,5S,85E,237.0762
LN-35271,2025-05,7,13:07:29,22719,56,Nb,1.5204,0.0781,13S,103W,84.50339999999998
LN-35266,2023-10,1,11:09:09,22712,23,N,1.1154,0.7958,1N,74W,230.64989999999997
LN-35260,2020-03,28,01:57:43,22704,28,P,-0.4957,1.9872,0N,67E,369.7482
LN-35254,2025-09,21,03:12:08,22695,33,T,0.4437,2.0287,4S,46E,319.68525
LN-35248,2022-03,17,03:13:47,22687,38,T+,0.2547,2.4181,5N,49E,372.23580000000004
LN-35242,2024-09,10,16:42:17,22679,43,T-,-0.2657,2.3761,9S,156W,347.67075
LN-35236,2023-03,6,10:44:51,22671,48,P,0.9764,1.0677,10N,63W,274.28655000000003
LN-35230,2022-08,30,23:45:28,22662,53,N,-1.0324,0.9956,13S,99E,285.7917
LN-35225,2024-01,25,15:31:28,22656,20,P,-0.9776,1.0455,20N,134W,256.14779999999996
LN-35219,2021-07,20,08:27:33,22647,25,N,1.1338,0.8128,22S,32W,268.27485
LN-35213,2024-01,14,07:05:49,22639,30,T,-0.3102,2.2817,22N,9W,332.6415
LN-35207,2023-07,9,12:30:58,22631,35,T,0.3447,2.2371,23S,94W,355.54815
LN-35201,2021-01,3,18:12:50,22623,40,T,0.4031,2.1396,24N,177W,351.60945000000004
LN-35195,2022-06,28,23:55:04,22614,45,T,-0.4276,2.0571,24S,94E,326.73345
LN-35189,2023-12,23,21:57:32,22606,50,N,1.1352,0.8224,25N,125E,270.34785
LN-35184,2024-05,20,09:45:40,22599,17,N,1.3422,0.3663,16S,54W,162.34454999999997
LN-35183,2024-06,18,16:18:02,22598,55,N,-1.1420000000000001,0.7325,24S,152W,220.59584999999998
LN-35178,2021-11,13,02:24:54,22591,22,N,-1.2272,0.6492,15N,56E,241.32585
LN-35172,2024-05,9,01:10:54,22583,27,P,0.6365,1.6801,14S,75E,315.8502
LN-35166,2020-11,1,08:06:04,22575,32,P,-0.4884,1.9762,12N,30W,338.75685
LN-35160,2020-04,28,10:33:26,22566,37,T-,-0.1341,2.63,11S,65W,370.47375
LN-35154,2024-10,21,20:42:26,22558,42,T+,0.2143,2.4544,8N,141E,332.2269
LN-35148,2020-04,17,12:59:55,22550,47,P,-0.9152,1.2145,8S,101W,316.2648
LN-35142,2024-10,11,12:28:31,22542,52,P,0.8796,1.2287,5N,96W,273.25005
LN-35137,2024-03,7,23:52:17,22535,19,N,1.1796,0.7151,10N,100E,244.43535
LN-35131,2020-09,1,14:30:07,22527,24,N,-1.1385,0.7815,13S,123W,247.0266
LN-35125,2025-02,25,09:19:38,22518,29,T,0.3942,2.1297,13N,41W,334.09259999999995
LN-35119,2022-08,20,19:36:08,22510,34,T,-0.4397,2.0876,16S,161E,368.60805
LN-35113,2025-02,14,00:18:53,22502,39,T,-0.3237,2.2436,16N,94E,323.41665
LN-35107,2021-08,9,19:45:55,22494,44,T,0.29100000000000004,2.3646,18S,158E,382.3935
LN-35101,2022-02,3,16:30:02,22485,49,N,-1.0203,0.9718,18N,150W,252.41639999999998
LN-35095,2020-07,29,22:16:04,22477,54,Nx,1.0155,1.0149,20S,120E,282.68219999999997
LN-35090,2023-12,25,14:44:59,22470,21,N,1.0532,0.9561,25N,127W,276.46320000000003
LN-35084,2020-06,19,23:44:04,22462,26,P,-0.8798,1.2209999999999999,24S,96E,275.32304999999997
LN-35078,2023-12,14,16:32:33,22454,31,T,0.39,2.1944,23N,155W,379.59495000000004
LN-35072,2023-06,8,16:45:07,22446,36,T-,-0.1345,2.5811,22S,160W,327.35535
LN-35066,2020-12,2,15:37:28,22438,41,T,-0.2875,2.3784,21N,142W,380.9424
LN-35060,2025-05,29,08:57:01,22429,46,P,0.6244,1.6965,19S,43W,312.42975
LN-35054,2023-11,21,19:32:32,22421,51,P,-0.9528,1.1318,18N,158E,288.59024999999997
LN-35049,2025-04,19,07:23:02,22414,18,N,-1.3001,0.4981,9S,18W,212.6148
LN-35048,2022-05,18,19:53:46,22413,56,N,1.4473,0.2137,16S,153E,138.6087
LN-35043,2024-10,12,19:47:07,22406,23,N,1.126,0.777,6N,154E,228.1623
LN-35037,2021-04,8,08:33:46,22398,28,P,-0.569,1.8513,4S,34W,362.80365
LN-35031,2023-10,2,11:40:17,22390,33,T,0.4629,1.9957,1N,83W,319.27065000000005
LN-35025,2025-03,27,10:12:34,22381,38,T+,0.1907,2.5325,1N,58W,372.6504
LN-35019,2025-09,21,00:45:45,22373,43,T-,-0.2407,2.4251,4S,81E,350.3656500000001
LN-35013,2024-03,16,18:17:58,22365,48,P,0.9223,1.1638,6N,178W,282.0603
LN-35007,2023-09,10,07:14:32,22357,53,Nx,-0.9979,1.062,9S,15W,294.291
LN-35002,2024-02,4,23:56:43,22350,20,P,-1.0012,1.0006,17N,98E,251.5872
LN-34996,2022-07,31,15:14:16,22342,25,N,1.1985,0.6947,20S,135W,250.65435
LN-34990,2025-01,25,15:32:21,22334,30,T,-0.3287,2.2477,21N,136W,332.53785
LN-34984,2021-07,20,19:35:30,22326,35,T,0.4118,2.1135,22S,159E,350.3656500000001
LN-34978,2020-01,15,02:26:40,22317,40,T,0.3918,2.1607,23N,60E,353.47515
LN-34972,2024-07,9,07:18:01,22309,45,T,-0.3572,2.1859,24S,17W,329.73929999999996
LN-34966,2024-01,3,05:54:59,22301,50,N,1.1264,0.8383,25N,6E,272.9391
LN-34961,2024-05,30,17:08:14,22294,17,N,1.4166,0.2305,19S,166W,130.62765
LN-34960,2021-06,28,23:47:13,22293,55,N,-1.0725,0.8606,25S,95E,235.93604999999997
LN-34955,2024-11,23,10:36:37,22286,22,N,-1.2277,0.6473,18N,68W,240.393
LN-34949,2021-05,20,08:18:06,22278,27,P,0.7155,1.5365,17S,34W,308.5947
LN-34943,2021-11,12,16:39:08,22270,32,P,-0.4892,1.9737,15N,160W,337.51305
LN-34937,2022-05,9,17:15:05,22261,37,T-,-0.0532,2.7795,15S,168W,372.96135
LN-34931,2020-11,2,05:27:24,22253,42,T+,0.2082,2.4656,12N,8E,331.8123
LN-34925,2020-04,27,19:25:44,22245,47,P,-0.8335,1.3638,12S,160E,329.63565000000006
LN-34919,2021-10,21,21:10:42,22237,52,P,0.8711,1.2458,9N,132E,275.01210000000003
LN-34914,2022-03,18,07:04:58,22230,19,N,1.232,0.6157,5N,10W,227.95499999999998
LN-34913,2021-04,16,20:28:26,22229,57,Nb,-1.5586,0.0252,8S,145E,50.0916
LN-34908,2025-09,11,22:18:59,22222,24,N,-1.1749,0.718,9S,118E,239.46015
LN-34902,2022-03,7,17:06:41,22214,29,T,0.4386,2.0453,9N,160W,329.73929999999996
LN-34896,2021-09,1,02:51:34,22206,34,P,-0.4861,2.0053,12S,50E,366.53504999999996
LN-34890,2022-02,25,08:27:18,22197,39,T,-0.2859,2.3111,12N,30W,324.45315000000005
LN-34884,2023-08,21,02:46:38,22189,44,T+,0.2358,2.4671,15S,51E,384.67379999999997
LN-34878,2025-02,15,00:44:20,22181,49,P,-0.9929,1.0215,15N,86E,257.8062
LN-34872,2022-08,9,05:27:51,22173,54,P,0.9547,1.1264,18S,11E,293.35815
LN-34867,2023-01,4,22:56:35,22166,21,N,1.065,0.9348,25N,111E,274.8048
LN-34861,2023-06,30,07:08:01,22158,26,P,-0.9479,1.0958,25S,16W,263.8179
LN-34855,2025-12,25,00:30:20,22150,31,T,0.3981,2.1792,24N,86E,379.284
LN-34849,2025-06,20,00:11:00,22142,36,T-,-0.2078,2.4475,24S,88E,326.00790000000006
LN-34843,2025-12,13,23:44:14,22134,41,T,-0.2835,2.3843,23N,96E,380.1132
LN-34837,2025-06,9,16:08:08,22125,46,P,0.5503,1.8342,21S,152W,320.4108
LN-34831,2020-12,3,04:02:50,22117,51,P,-0.9504,1.1346,20N,30E,287.86469999999997
LN-34826,2024-04,29,13:59:50,22110,18,N,-1.3808,0.3504,13S,119W,181.3125
LN-34825,2020-05,29,02:37:11,22109,56,N,1.3723,0.3529,19S,51E,176.64825
LN-34820,2020-10,23,04:30:47,22102,23,N,1.1321,0.7663,10N,21E,226.7112
LN-34814,2023-04,18,15:02:58,22094,28,P,-0.6475,1.7059,8S,134W,354.30435
LN-34808,2021-10,12,20:14:50,22086,33,P,0.4762,1.9732,5N,146E,319.27065000000005
LN-34802,2021-04,7,17:06:23,22078,38,T+,0.122,2.6558,3S,164W,372.54675
LN-34796,2023-10,2,08:55:19,22070,43,T-,-0.2217,2.463,0N,43W,352.7496
LN-34790,2022-03,28,01:46:36,22062,48,P,0.8636,1.2684,2N,68E,289.73040000000003
LN-34784,2024-09,21,14:51:15,22053,53,P,-0.9701,1.1158,5S,131W,301.13190000000003
LN-34779,2024-02,16,08:14:04,22047,20,N,-1.0314,0.9439,14N,27W,245.67915
LN-34778,2024-03,16,16:31:39,22045,58,Nb,1.5330000000000001,0.0218,6N,153W,40.9704
LN-34773,2023-08,10,22:09:43,22039,25,N,1.2561,0.5896,17S,120E,232.9302
LN-34767,2023-02,4,23:49:49,22030,30,T,-0.3539,2.2012,18N,99E,332.12325
LN-34761,2022-07,31,02:49:22,22022,35,P,0.4717,2.0031,20S,50E,344.97585
LN-34755,2022-01,25,10:29:45,22014,40,T,0.3728,2.1957,21N,62W,355.75545
LN-34749,2022-07,20,14:49:19,22006,45,T,-0.2931,2.3032,23S,131W,331.91595000000007
LN-34743,2024-01,14,13:44:07,21998,50,N,1.1118,0.8646,24N,111W,276.77415
LN-34738,2025-06,11,00:30:48,21991,17,Ne,1.4905,0.0959,21S,82E,85.43625
LN-34737,2025-07,10,07:20:32,21990,55,P,-1.0064,0.9828,25S,19W,248.99595
LN-34732,2023-12,4,18:49:35,21983,22,N,-1.2274,0.6464,20N,168E,239.46015
LN-34726,2021-05,30,15:21:54,21975,27,P,0.7959999999999999,1.3905,20S,141W,299.99175
LN-34720,2025-11,23,01:16:03,21967,32,P,-0.4877,1.9751,19N,70E,336.3729
LN-34714,2025-05,19,23:50:05,21959,37,T+,0.0322,2.8193,18S,92E,374.51609999999994
LN-34708,2020-11,12,14:17:34,21950,42,T+,0.20600000000000002,2.4694,16N,126W,331.3977
LN-34702,2025-05,9,01:46:42,21942,47,P,-0.7477,1.5209,15S,63E,341.86635
LN-34696,2022-11,2,05:57:38,21934,52,P,0.8667,1.2551,13N,1W,276.15225
LN-34691,2020-03,29,14:13:02,21927,19,N,1.2887,0.5086,1N,119W,208.36514999999997
LN-34690,2020-04,28,03:05:52,21926,57,N,-1.4784,0.1702,12S,43E,128.0364
LN-34685,2020-09,23,06:14:50,21919,24,N,-1.2045,0.6669,4S,3W,233.03385
LN-34679,2023-03,18,00:48:05,21911,29,P,0.4884,1.9509999999999998,5N,82E,324.7641
LN-34673,2022-09,11,10:13:52,21903,34,P,-0.5262,1.9344,8S,62W,364.5657
LN-34667,2022-03,7,16:28:57,21895,39,T-,-0.2422,2.3895,8N,152W,325.5933
LN-34661,2023-08,31,09:56:42,21887,44,T+,0.1876,2.5567,12S,58W,386.22855
LN-34655,2020-02,25,08:49:33,21879,49,P,-0.9585,1.0842,11N,37W,264.33615
LN-34649,2024-08,20,12:50:51,21871,54,P,0.9017,1.2236,15S,101W,301.54650000000004
LN-34644,2024-01,16,07:00:07,21864,21,N,1.0829,0.9022,23N,10W,271.6953
LN-34638,2025-07,11,14:37:59,21856,26,P,-1.0115,0.9789,24S,129W,252.00179999999997
LN-34632,2025-01,5,08:21:54,21848,31,T,0.4111,2.1546,24N,32W,378.55845
LN-34626,2021-06,30,07:40:02,21840,36,T,-0.2784,2.319,24S,25W,324.03855
LN-34620,2020-12,24,07:47:01,21832,41,T,-0.2758,2.3966,23N,25W,379.284
LN-34614,2024-06,19,23:19:23,21823,46,P,0.47700000000000004,1.9708,23S,99E,327.56265
LN-34608,2020-12,13,12:31:58,21815,51,P,-0.9461,1.1405,22N,98W,287.2428
LN-34603,2025-05,10,20:30:55,21809,18,N,-1.4648,0.1969,16S,141E,138.1941
LN-34602,2025-06,9,09:19:29,21807,56,N,1.297,0.4931,21S,51W,206.91404999999997
LN-34597,2025-11,3,13:18:53,21801,23,N,1.1352,0.7609999999999999,14N,112W,225.882
LN-34591,2021-04,29,21:27:38,21792,28,P,-0.7297,1.5539,12S,128E,343.93935
LN-34585,2023-10,24,04:55:31,21784,33,P,0.4843,1.9601,9N,14E,319.5816
LN-34579,2025-04,17,23:54:11,21776,38,T+,0.0472,2.7904,8S,92E,371.71754999999996
LN-34573,2024-10,12,17:11:53,21768,43,T-,-0.2092,2.4888,5N,169W,354.92625
LN-34567,2020-04,7,09:08:25,21760,48,P,0.7981,1.3858,3S,45W,297.4005
LN-34561,2024-10,1,22:36:08,21752,53,P,-0.9495,1.1564,1S,110E,306.31440000000003
LN-34556,2021-02,26,16:22:40,21745,20,N,-1.0687,0.8740000000000001,11N,151W,238.11270000000002
LN-34555,2025-03,28,00:16:46,21744,58,N,1.4784,0.1201,2N,89E,95.17935
LN-34550,2022-08,22,05:16:03,21737,25,N,1.3054,0.5,14S,12E,216.03525
LN-34544,2020-02,16,07:59:33,21729,30,T,-0.3849,2.144,15N,25W,331.29404999999997
LN-34538,2025-08,11,10:11:32,21721,35,P,0.5257,1.9037,18S,62W,339.58605
LN-34532,2020-02,5,18:25:25,21713,40,T,0.3485,2.2403,19N,179E,358.24305000000004
LN-34526,2021-07,30,22:26:57,21705,45,T-,-0.2339,2.4119,21S,114E,333.26340000000005
LN-34520,2020-01,24,21:25:18,21697,50,N,1.0909,0.9022,22N,133E,281.853
LN-34514,2024-07,20,14:59:07,21689,55,P,-0.9447,1.0973,23S,134W,260.0865
LN-34509,2020-12,15,03:01:46,21682,22,N,-1.2285,0.6426,22N,45E,238.11270000000002
LN-34503,2020-06,10,22:26:02,21674,27,P,0.8754,1.2469,21S,112E,290.04134999999997
LN-34497,2023-12,4,09:52:19,21666,32,P,-0.4875,1.9738,21N,59W,335.02545
LN-34491,2022-05,31,06:24:46,21658,37,T+,0.1171,2.6651,20S,8W,375.03435
LN-34485,2022-11,23,23:09:09,21650,42,T+,0.2048,2.471,19N,101E,330.87945
LN-34479,2024-05,19,08:04:41,21642,47,P,-0.6591,1.6832,18S,33W,352.7496
LN-34473,2025-11,12,14:47:39,21634,52,P,0.8653,1.2587,17N,135W,276.8778
LN-34468,2025-04,8,21:14:15,21627,19,N,1.3513,0.3907,3S,133E,183.8001
LN-34467,2021-05,8,09:39:44,21626,57,N,-1.3943,0.3225,16S,57W,173.12415
LN-34462,2023-10,3,14:18:01,21619,24,N,-1.2276,0.6275,0S,125W,227.85135
LN-34456,2022-03,29,08:21:37,21611,29,P,0.5454,1.8435,1N,33W,318.85605
LN-34450,2025-09,22,17:46:08,21603,34,P,-0.5577,1.8791,4S,177W,363.01095000000004
LN-34444,2020-03,19,00:22:21,21595,39,T-,-0.1914,2.4811,4N,87E,326.73345
LN-34438,2024-09,11,17:16:40,21587,44,T+,0.147,2.6322,8S,169W,387.05775
LN-34432,2022-03,7,16:45:43,21579,49,P,-0.9172,1.1596,7N,158W,271.6953
LN-34426,2023-08,30,20:23:51,21571,54,P,0.8558,1.3079,11S,144E,307.86915
LN-34421,2023-01,26,14:54:40,21564,21,N,1.1073,0.8575,22N,129W,266.82375
LN-34415,2023-07,21,22:13:29,21556,26,N,-1.0711,0.8699,23S,117E,239.87475
LN-34414,2022-08,20,06:56:22,21554,64,N,1.5166,0.066,14S,14W,73.20554999999999
LN-34409,2025-01,15,16:07:18,21548,31,T,0.429,2.1207,23N,149W,377.31465000000003
LN-34403,2024-07,11,15:12:49,21540,36,T,-0.3455,2.1973,24S,139W,321.65459999999996
LN-34397,2021-01,4,15:46:30,21532,41,T-,-0.2648,2.4147,23N,145W,378.4548
LN-34391,2024-07,1,06:32:38,21524,46,T,0.4061,2.1033,23S,10W,333.78165
LN-34385,2021-12,24,21:00:21,21516,51,P,-0.9406,1.1484,23N,135E,286.82820000000004
LN-34380,2025-05,21,02:57:48,21509,18,Ne,-1.5509,0.0399,20S,43E,63.1515
LN-34379,2021-06,19,16:00:40,21508,56,N,1.2213,0.6343,22S,152W,232.5156
LN-34374,2020-11,13,22:10:51,21501,23,N,1.1354,0.7607,18N,114E,225.6747
LN-34373,2023-12,13,09:08:42,21499,61,N,-1.5529,0.0004,21N,48W,5.3148
LN-34368,2024-05,10,03:49:05,21493,28,P,-0.8145,1.3972,16S,30E,331.70865000000003
LN-34362,2023-11,3,13:39:43,21485,33,P,0.4892,1.9528,13N,118W,320.20349999999996
LN-34356,2025-04,29,06:40:16,21477,38,T-,-0.0299,2.8195,12S,12W,370.05915000000005
LN-34350,2023-10,24,01:33:16,21469,43,T-,-0.2013,2.506,9N,64E,356.79195000000004
LN-34344,2020-04,18,16:27:38,21461,48,P,0.7297,1.5088,7S,157W,304.44870000000003
LN-34338,2022-10,13,06:26:36,21453,53,P,-0.9338,1.1877,4N,9W,310.35675000000003
LN-34333,2021-03,9,00:23:47,21446,20,N,-1.1122,0.7929,7N,87E,228.68054999999998
LN-34332,2025-04,7,07:56:37,21445,58,N,1.4192,0.22699999999999998,2S,28W,129.38385
LN-34327,2025-09,1,12:32:43,21438,25,N,1.3465,0.4252,10S,99W,200.28045000000003
LN-34321,2025-02,26,15:57:59,21430,30,T,-0.4247,2.0709,11N,146W,329.84295000000003
LN-34315,2023-08,21,17:45:10,21422,35,P,0.5711,1.8205,15S,177W,334.5072
LN-34309,2020-02,16,02:09:11,21414,40,T,0.3154,2.301,15N,62E,361.0416
LN-34303,2022-08,11,06:14:12,21406,45,T-,-0.1822,2.5072,18S,4W,334.09259999999995
LN-34297,2025-02,5,04:56:20,21398,50,N,1.0621,0.9540000000000001,19N,20E,288.59024999999997
LN-34291,2023-07,31,22:44:28,21390,55,P,-0.8886,1.2015,22S,109E,269.20770000000005
LN-34286,2020-12,26,11:12:04,21383,22,N,-1.2316,0.6347,23N,78W,235.93604999999997
LN-34280,2021-06,21,05:28:20,21375,27,P,0.955,1.1032,23S,6E,278.43255
LN-34274,2022-12,14,18:29:45,21367,32,P,-0.4871,1.9727,23N,171E,333.678
LN-34268,2022-06,10,12:56:32,21359,37,T+,0.2031,2.5089,22S,107W,374.3088
LN-34262,2022-12,4,08:01:46,21351,42,T+,0.2043,2.4712,22N,33W,330.3612
LN-34256,2021-05,30,14:21:44,21343,47,P,-0.5696,1.8473,21S,129W,362.07809999999995
LN-34250,2025-11,23,23:39:56,21335,52,P,0.8665,1.2574,20N,91E,277.29240000000004
LN-34245,2024-04,20,04:12:50,21328,19,N,1.4167,0.2678,7S,26E,153.22334999999998
LN-34244,2023-05,19,16:13:44,21327,57,N,-1.3088,0.4775,19S,157W,206.91404999999997
LN-34239,2022-10,14,22:26:25,21320,24,N,-1.2456,0.5974,4N,111E,224.01629999999997
LN-34233,2021-04,8,15:51:27,21312,29,P,0.6063,1.7292,4S,148W,312.11879999999996
LN-34227,2021-10,3,01:25:14,21304,34,P,-0.5833,1.8345,0N,66E,361.6635
LN-34221,2021-03,29,08:08:40,21296,39,T-,-0.1344,2.5843,0S,32W,327.6663
LN-34215,2024-09,22,00:46:46,21288,44,T+,0.1142,2.6934,4S,76E,387.47235
LN-34209,2025-03,19,00:33:42,21280,49,P,-0.8695,1.2467,3N,83E,279.67634999999996
LN-34203,2024-09,11,04:07:19,21272,54,P,0.8174,1.3783,7S,26E,312.53340000000003
LN-34198,2020-02,6,22:39:14,21266,21,N,1.1389,0.7993,19N,114E,259.77555
LN-34192,2023-08,2,05:57:11,21258,26,N,-1.1244,0.7725,21S,0E,227.95499999999998
LN-34191,2022-08,31,14:54:41,21256,64,N,1.4739,0.1445,11S,135W,107.20275
LN-34186,2023-01,26,23:43:50,21250,31,P,0.45399999999999996,2.0735,21N,97E,375.34529999999995
LN-34180,2025-07,21,22:50:21,21242,36,T,-0.4084,2.0835,23S,106E,318.9597
LN-34174,2022-01,14,23:39:44,21234,41,T-,-0.2478,2.4434,22N,97E,377.72925
LN-34168,2022-07,11,13:49:12,21226,46,T,0.3386,2.2298,23S,119W,339.17145000000005
LN-34162,2024-01,4,05:23:14,21218,51,P,-0.9295,1.1661,23N,10E,287.2428
LN-34156,2021-06,30,22:44:30,21210,56,N,1.1479,0.7713,23S,106E,254.07479999999998
LN-34151,2025-11,25,07:04:43,21203,23,N,1.1349,0.7615,21N,20W,225.6747
LN-34150,2023-12,24,17:54:45,21202,61,N,-1.5469,0.0099,22N,180W,27.9105
LN-34145,2024-05,21,10:08:26,21195,28,P,-0.9009999999999999,1.2377,19S,66W,317.40495
LN-34139,2025-11,14,22:27:21,21187,33,P,0.491,1.9509,17N,109E,320.92904999999996
LN-34133,2022-05,9,13:23:29,21179,38,T-,-0.1107,2.6689999999999996,15S,114W,367.4679
LN-34127,2025-11,3,09:59:25,21171,43,T-,-0.1982,2.5140000000000002,13N,64W,358.45034999999996
LN-34121,2021-04,28,23:41:43,21163,48,P,0.6559,1.6418,11S,92E,311.18595
LN-34115,2020-10,23,14:24:26,21155,53,P,-0.9246,1.2068,8N,130W,313.1553
LN-34110,2020-03,20,08:17:06,21149,20,N,-1.1621,0.7003,2N,34W,217.07175
LN-34109,2024-04,18,15:31:17,21147,58,N,1.3556,0.3423,6S,144W,156.95475
LN-34104,2023-09,12,19:59:43,21141,25,N,1.3799,0.3646,6S,147E,186.18404999999998
LN-34098,2023-03,9,23:48:34,21133,30,T,-0.4703,1.9871,7N,94E,327.6663
LN-34092,2022-09,2,01:28:21,21125,35,P,0.6095,1.7499,11S,66E,329.84295000000003
LN-34086,2025-02,27,09:43:52,21117,40,T,0.2755,2.3741,12N,54W,363.9438
LN-34080,2024-08,21,14:08:42,21109,45,T-,-0.1359,2.5925,15S,124W,334.40355
LN-34074,2020-02,15,12:18:31,21101,50,Nx,1.0263,1.0185,16N,92W,296.26035
LN-34068,2020-08,11,06:36:35,21093,55,P,-0.8384,1.2952,19S,10W,276.8778
LN-34063,2022-01,5,19:17:23,21086,22,N,-1.2393,0.6182,22N,161E,232.30829999999997
LN-34057,2021-07,2,12:34:03,21078,27,N,1.0305,0.9671,23S,102W,265.78725
LN-34051,2023-12,26,03:03:59,21070,32,P,-0.4897,1.9658,23N,43E,332.12325
LN-34045,2022-06,21,19:29:40,21062,37,T,0.2873,2.3564,23S,154E,372.54675
LN-34039,2021-12,15,16:52:28,21055,42,T+,0.2021,2.4744,23N,166W,329.84295000000003
LN-34033,2024-06,9,20:39:50,21047,47,P,-0.4808,2.0104,23S,136E,369.7482
LN-34027,2024-12,4,08:31:17,21039,52,P,0.867,1.2570000000000001,22N,42W,277.707
LN-34022,2022-04,30,11:06:58,21032,19,N,1.4864,0.1373,11S,80W,110.4159
LN-34021,2020-05,29,22:47:48,21031,57,N,-1.2218,0.6354,21S,103E,234.27765
LN-34016,2020-10,25,06:40:49,21024,24,N,-1.2582,0.5769,9N,15W,221.42504999999997
LN-34010,2020-04,19,23:16:10,21016,29,P,0.6723,1.6059,8S,99E,304.34505
LN-34004,2025-10,14,09:11:50,21008,34,P,-0.6025,1.8014,5N,52W,360.73065
LN-33998,2025-04,9,15:48:46,21000,39,T-,-0.0721,2.6975,4S,149W,328.39185
LN-33992,2020-10,3,08:27:00,20992,44,T+,0.0893,2.74,1N,41W,387.47235
LN-33986,2024-03,29,08:12:08,20984,49,P,-0.8147,1.3474,1S,34W,288.17565
LN-33980,2022-09,21,12:01:20,20976,54,P,0.7867,1.4346,3S,94W,315.8502
LN-33975,2024-02,17,06:13:50,20970,21,N,1.1778,0.7275,16N,1W,250.23975000000002
LN-33969,2020-08,12,13:48:32,20962,26,N,-1.172,0.6858,19S,119W,216.44985
LN-33968,2023-09,10,23:02:40,20961,64,N,1.4383,0.2101,7S,101E,128.2437
LN-33963,2021-02,6,07:11:52,20954,31,P,0.486,2.0132,18N,16W,372.54675
LN-33957,2021-08,2,06:34:20,20946,36,T,-0.4658,1.9802,21S,11W,316.16115
LN-33951,2021-01,26,07:28:14,20938,41,T-,-0.226,2.4807,20N,21W,377.0037
